id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2018-elite-01-christiania-blåseensemble,2018,Elite,1,Christiania Blåseensemble,Rolf Gupta,Short Ride in a Fast Machine; Stabsarabesk; Et Expecto Ressurectionem,"['Short Ride in a Fast Machine', 'Stabsarabesk', 'Et Expecto Ressurectionem']",,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/christianiablaseensemble.jpg,,,,2025-09-23T13:59:30.579744
2018-elite-02-lillestrøm-musikkorps,2018,Elite,2,Lillestrøm Musikkorps,Trond Sverre Myhre,Symphony no. 4,['Symphony no. 4'],,[],95.67,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T13:59:30.579747
2018-elite-03-musikkforeningen-nidarholm,2018,Elite,3,Musikkforeningen Nidarholm,Bjørn Sagstad,Symphony no. 1 for Wind Band: Solitude Standing; Bachseits,"['Symphony no. 1 for Wind Band: Solitude Standing', 'Bachseits']",,[],95.33,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-09-23T13:59:30.579749
2018-elite-04-strusshamn-musikkforening,2018,Elite,4,Strusshamn Musikkforening,Reid Gilje,El Jardin de Las Herspérides,['El Jardin de Las Herspérides'],,[],95.0,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-09-23T13:59:30.579752
2018-elite-05-dragefjellets-musikkorps-bergen,2018,Elite,5,Dragefjellets Musikkorps Bergen,Svein Henrik Giske,In Brief; Goldberg 2012,"['In Brief', 'Goldberg 2012']",,[],94.67,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-23T13:59:30.579754
2018-elite-06-kolbu-janitsjarkorps,2018,Elite,6,Kolbu Janitsjarkorps,Christian Skarbø Tenfjord,Panorama,['Panorama'],,[],92.5,100.0,,,,,2025-09-23T13:59:30.579756
2018-elite-07-opus-82,2018,Elite,7,Opus 82,Sverre Stakston Olsrud,Traveler; Fantasy Variations,"['Traveler', 'Fantasy Variations']",,[],92.33,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-23T13:59:30.579758
2018-elite-08-mo-hornmusikk,2018,Elite,8,Mo Hornmusikk,Reid Gilje,Variazioni Sinfonische su “Non Potho Reposare”; Danza de los Duendes,"['Variazioni Sinfonische su “Non Potho Reposare”', 'Danza de los Duendes']",,[],90.33,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-09-23T13:59:30.579761
2018-elite-09-sarpsborg-janitsjarkorps,2018,Elite,9,Sarpsborg Janitsjarkorps,Leif Karlsson,Changes; Piece of Mind,"['Changes', 'Piece of Mind']",,[],88.33,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-09-23T13:59:30.579763
2018-elite-10-vestre-aker-musikkorps,2018,Elite,10,Vestre Aker Musikkorps,John-Philip Hannevik,"Symfoni nr. 2, Fatum, 1. sats; Profanation from Jeremiah, Symphony nr. 1; Dionysiaques","['Symfoni nr. 2, Fatum, 1. sats', 'Profanation from Jeremiah, Symphony nr. 1', 'Dionysiaques']",,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-09-23T13:59:30.579768
2018-1-divisjon-01-greåker-musikkorps,2018,1. divisjon,1,Greåker Musikkorps,Geir Holm,Homenaje a Joaquìn Sorolla Cuados Sinfònicos,['Homenaje a Joaquìn Sorolla Cuados Sinfònicos'],,[],97.0,100.0,,,,,2025-09-23T13:59:30.579770
2018-1-divisjon-02-stavanger-musikkorps-av-1919,2018,1. divisjon,2,Stavanger Musikkorps av 1919,Morten Evjeberg Hansen,A Savannah Symphony,['A Savannah Symphony'],,[],95.0,100.0,https://nmbrass.no/nmjanitsjar/static/stavangermusikkorps1919.jpg,,,,2025-09-23T13:59:30.579773
2018-1-divisjon-03-byneset-musikkorps,2018,1. divisjon,3,Byneset Musikkorps,Heidi Hagerup Uddu,Pinocchio,['Pinocchio'],,[],94.0,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-09-23T13:59:30.579775
2018-1-divisjon-04-skjold-nesttun-janitsjar,2018,1. divisjon,4,Skjold Nesttun Janitsjar,Bengt Florvåg,"Symphony no. 1, ""La Vall de la Murta""","['Symphony no. 1, ""La Vall de la Murta""']",,[],93.5,100.0,https://nmbrass.no/nmjanitsjar/static/skjoldnesttunjanitsjar.jpg,,,,2025-09-23T13:59:30.579777
2018-1-divisjon-05-sandefjord-musikkorps,2018,1. divisjon,5,Sandefjord Musikkorps,Robert Solberg Nilsen,Incantation and Dance; Poéme du Feu,"['Incantation and Dance', 'Poéme du Feu']",,[],93.0,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-23T13:59:30.579779
2018-1-divisjon-06-ådalsbruk-musikkforening,2018,1. divisjon,6,Ådalsbruk Musikkforening,Christian Skarbø Tenfjord,Out of Nowhere; Godspeed,"['Out of Nowhere', 'Godspeed']",,[],92.5,100.0,https://nmbrass.no/nmjanitsjar/static/aadalsbrukmusikkforening.jpg,,,,2025-09-23T13:59:30.579781
2018-1-divisjon-07-borge-musikkorps,2018,1. divisjon,7,Borge Musikkorps,Torstein Aagaard-Nilsen,Labyrinth,['Labyrinth'],,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/borgemusikkorps.jpg,,,,2025-09-23T13:59:30.579783
2018-1-divisjon-08-bjergsted-blåseensemble,2018,1. divisjon,8,Bjergsted Blåseensemble,Rune Furøy Johansen,Festmusik Der Stadt Wien; Tam o'Shanter; Stabsarabesk,"['Festmusik Der Stadt Wien', ""Tam o'Shanter"", 'Stabsarabesk']",,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/bjergsted.jpg,,,,2025-09-23T13:59:30.579786
2018-1-divisjon-09-sandvikens-ungdomskorps,2018,1. divisjon,9,Sandvikens Ungdomskorps,Trond Jarle Madsen,Pequeña Suite para Banda; Stabsarabesk,"['Pequeña Suite para Banda', 'Stabsarabesk']",,[],90.5,100.0,,,,,2025-09-23T13:59:30.579788
2018-1-divisjon-10-kolbotn-konsertorkester,2018,1. divisjon,10,Kolbotn Konsertorkester,Rune André Halvorsen,L’Homme Armée,['L’Homme Armée'],,[],90.0,100.0,,,,,2025-09-23T13:59:30.579790
2018-1-divisjon-11-nittedal-og-hakadal-janitsjar,2018,1. divisjon,11,Nittedal og Hakadal Janitsjar,Trond Elnes,Elegia; Divertimento,"['Elegia', 'Divertimento']",,[],89.5,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-09-23T13:59:30.579792
2018-1-divisjon-12-alvøens-musikkforening,2018,1. divisjon,12,Alvøens Musikkforening,Bengt Florvåg,Sidus,['Sidus'],,[],89.0,100.0,,,,,2025-09-23T13:59:30.579794
2018-1-divisjon-13-drammen-konsertorkester,2018,1. divisjon,13,Drammen Konsertorkester,Thor Anders Trelease-Eriksen,Sinfonietta for Concert Band,['Sinfonietta for Concert Band'],,[],88.5,100.0,https://nmbrass.no/nmjanitsjar/static/drammenkonsertorkester.jpg,,,,2025-09-23T13:59:30.579796
2018-2-divisjon-01-sande-musikkorps,2018,2. divisjon,1,Sande Musikkorps,Thomas Rimul,"Overture & March ""1776""; Armenian Dances, Part 1","['Overture & March ""1776""', 'Armenian Dances, Part 1']",,[],97.0,100.0,,,,,2025-09-23T13:59:30.579799
2018-2-divisjon-02-asker-musikkorps,2018,2. divisjon,2,Asker Musikkorps,Erling Johan Myrseth,Ponte Romano; Vesuvius,"['Ponte Romano', 'Vesuvius']",,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/askermusikkorps.jpg,,,,2025-09-23T13:59:30.579801
2018-2-divisjon-03-prosjekt-mmxix,2018,2. divisjon,3,Prosjekt MMXIX,Thorbjørn Lunde,"The Planets, 1. sats Mars The Bringer of the War; The Planets, 4. sats Jupiter The Bringer of Jollity","['The Planets, 1. sats Mars The Bringer of the War', 'The Planets, 4. sats Jupiter The Bringer of Jollity']",,[],95.0,100.0,,,,,2025-09-23T13:59:30.579803
2018-2-divisjon-04-lungegaardens-musikkorps,2018,2. divisjon,4,Lungegaardens Musikkorps,Eirik Gjerdevik,Between the Two Rivers,['Between the Two Rivers'],"Variations on ""Ein Feste Burg""","['Variations on ""Ein Feste Burg""']",94.5,100.0,https://nmbrass.no/nmjanitsjar/static/lungegaardensmusikkorps.jpg,,,,2025-09-23T13:59:30.579806
2018-2-divisjon-05-bjølsen-ungdomskorps,2018,2. divisjon,5,Bjølsen Ungdomskorps,Maria Nygård Molund,With Heart and Voice; Incantation and Dance,"['With Heart and Voice', 'Incantation and Dance']",,[],94.0,100.0,,,,,2025-09-23T13:59:30.579808
2018-2-divisjon-06-lørenskog-musikkorps,2018,2. divisjon,6,Lørenskog Musikkorps,Trond Sverre Myhre,Tales and Legends,['Tales and Legends'],,[],93.5,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-09-23T13:59:30.579810
2018-2-divisjon-07-gjøvik-bykorps,2018,2. divisjon,7,Gjøvik Bykorps,Trond Elnes,Gulliver's Travels; Dawn Flight,"[""Gulliver's Travels"", 'Dawn Flight']",,[],93.0,100.0,https://pbs.twimg.com/media/B9LdjwwCcAEyfNF.jpg,,,,2025-09-23T13:59:30.579812
2018-2-divisjon-08-os-musikkforening,2018,2. divisjon,8,Os Musikkforening,Magnus Brandseth,Exultate; Lux Aurumque; El Camino Real,"['Exultate', 'Lux Aurumque', 'El Camino Real']",,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/osmusikkforening.jpg,,,,2025-09-23T13:59:30.579814
2018-2-divisjon-09-sinsen-konsertorkester,2018,2. divisjon,9,Sinsen Konsertorkester,Tomas Carstensen,Danceries; Overture on Russian and Kirgiz folk themes,"['Danceries', 'Overture on Russian and Kirgiz folk themes']",,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-23T13:59:30.579817
2018-2-divisjon-10-hov-musikkorps,2018,2. divisjon,10,Hov Musikkorps,Morten Fagerjord,La Ville Blanche et Bleue; Sketches on a Tudor Psalm,"['La Ville Blanche et Bleue', 'Sketches on a Tudor Psalm']",,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/hovmusikkorps.jpg,,,,2025-09-23T13:59:30.579819
